Fecha;Nemotécnico;Precio cierre;Precio máximo;Precio promedio ponderado;Precio mínimo;Variación absoluta;Variación porcentual;Cantidad;Volumen
2020-10-26;ECOPETROL;1849.0;1851.0;1827.47;1810.0;-11.0;-0.59;8026668.0;14668529640.0
2020-10-27;ECOPETROL;1830.0;1830.0;1820.16;1811.0;-19.0;-1.03;9979732.0;18164719814.0
2020-10-28;ECOPETROL;1715.0;1820.0;1752.17;1715.0;-115.0;-6.28;19294360.0;33807033366.0
2020-10-29;ECOPETROL;1747.0;1750.0;1698.58;1615.0;32.0;1.87;7487469.0;12718094409.0
2020-10-30;ECOPETROL;1791.0;1791.0;1776.1;1731.0;44.0;2.52;14066645.0;24983754486.0
2020-11-03;ECOPETROL;1822.0;1848.0;1824.01;1795.0;31.0;1.73;6239928.0;11381662982.0
2020-11-04;ECOPETROL;1870.0;1886.0;1863.49;1810.0;48.0;2.63;8774101.0;16350406073.0
2020-11-05;ECOPETROL;1850.0;1893.0;1864.29;1850.0;-20.0;-1.07;4760886.0;8875682766.0
2020-11-06;ECOPETROL;1833.0;1866.0;1839.94;1826.0;-17.0;-0.92;8032175.0;14778719520.0
2020-11-09;ECOPETROL;1938.0;1990.0;1961.54;1870.0;105.0;5.73;25395667.0;49814739459.0
2020-11-10;ECOPETROL;1982.0;1982.0;1969.72;1937.0;44.0;2.27;8743850.0;17222934684.0
2020-11-11;ECOPETROL;2015.0;2025.0;2009.52;1990.0;33.0;1.66;7797342.0;15668881881.0
2020-11-12;ECOPETROL;1974.0;2020.0;1983.37;1952.0;-41.0;-2.03;8862495.0;17577640108.0
2020-11-13;ECOPETROL;2000.0;2000.0;1985.67;1953.0;26.0;1.32;4624405.0;9182540476.0
2020-11-17;ECOPETROL;2135.0;2135.0;2101.11;2020.0;135.0;6.75;28212249.0;59276951626.0
2020-11-18;ECOPETROL;2124.0;2177.0;2148.19;2115.0;-11.0;-0.52;14202593.0;30509886676.0
2020-11-19;ECOPETROL;2145.0;2159.0;2144.13;2101.0;21.0;0.99;8014181.0;17183422203.0
2020-11-20;ECOPETROL;2153.0;2153.0;2144.0;2128.0;8.0;0.37;5132119.0;11003272147.0
2020-11-23;ECOPETROL;2200.0;2200.0;2191.47;2160.0;47.0;2.18;14339461.0;31424451094.0
2020-11-24;ECOPETROL;2242.0;2257.0;2244.7;2200.0;42.0;1.91;19051745.0;42765407005.0
2020-11-25;ECOPETROL;2252.0;2260.0;2232.85;2206.0;10.0;0.45;11882465.0;26531710668.0
2020-11-26;ECOPETROL;2210.0;2239.0;2216.28;2210.0;-42.0;-1.87;3883406.0;8606695663.0
2020-11-27;ECOPETROL;2172.0;2230.0;2191.99;2160.0;-38.0;-1.72;14551255.0;31896250275.0
2020-11-30;ECOPETROL;2081.0;2188.0;2088.12;2081.0;-91.0;-4.19;37338399.0;77967016284.0
2020-12-01;ECOPETROL;2129.0;2136.0;2121.31;2102.0;48.0;2.31;7171086.0;15212093418.0
2020-12-02;ECOPETROL;2145.0;2181.0;2160.19;2124.0;16.0;0.75;11971241.0;25860114352.0
2020-12-03;ECOPETROL;2120.0;2160.0;2132.43;2116.0;-25.0;-1.17;29317116.0;62516583434.0
2020-12-04;ECOPETROL;2213.0;2220.0;2190.32;2150.0;93.0;4.39;11460406.0;25101912067.0
2020-12-07;ECOPETROL;2210.0;2235.0;2214.78;2169.0;-3.0;-0.14;7718216.0;17094157477.0
2020-12-09;ECOPETROL;2235.0;2252.0;2227.58;2204.0;25.0;1.13;15162004.0;33774582548.0
2020-12-10;ECOPETROL;2305.0;2319.0;2292.3;2240.0;70.0;3.13;23136611.0;53035948448.0
2020-12-11;ECOPETROL;2310.0;2310.0;2285.25;2256.0;5.0;0.22;11398898.0;26049358589.0
2020-12-14;ECOPETROL;2287.0;2335.0;2290.19;2264.0;-23.0;-1.0;12270306.0;28101329929.0
2020-12-15;ECOPETROL;2295.0;2305.0;2289.44;2258.0;8.0;0.35;10130165.0;23192432095.0
2020-12-16;ECOPETROL;2359.0;2359.0;2322.21;2277.0;64.0;2.79;12159557.0;28237102401.0
2020-12-17;ECOPETROL;2370.0;2380.0;2367.84;2354.0;11.0;0.47;10115209.0;23951242736.0
2020-12-18;ECOPETROL;2326.0;2373.0;2339.47;2326.0;-44.0;-1.86;22098196.0;51698015424.0
2020-12-21;ECOPETROL;2215.0;2310.0;2245.1;2215.0;-111.0;-4.77;15482687.0;34760139174.0
2020-12-22;ECOPETROL;2240.0;2265.0;2239.56;2215.0;25.0;1.13;6341993.0;14203295032.0
2020-12-23;ECOPETROL;2297.0;2300.0;2294.61;2275.0;57.0;2.54;3999868.0;9178152356.0
2020-12-24;ECOPETROL;2287.0;2289.0;2266.0;2254.0;-10.0;-0.44;987014.0;2236578353.0
2020-12-28;ECOPETROL;2278.0;2300.0;2269.83;2259.0;-9.0;-0.39;4514790.0;10247809133.0
2020-12-29;ECOPETROL;2289.0;2291.0;2272.79;2257.0;11.0;0.48;4353100.0;9893702736.0
2020-12-30;ECOPETROL;2245.0;2289.0;2258.67;2245.0;-44.0;-1.92;2994874.0;6764427083.0
2021-01-04;ECOPETROL;2242.0;2269.0;2236.07;2213.0;-3.0;-0.13;4040858.0;9035638250.0
2021-01-05;ECOPETROL;2292.0;2317.0;2288.66;2238.0;50.0;2.23;17309698.0;39616002365.0
2021-01-06;ECOPETROL;2308.0;2320.0;2301.56;2275.0;16.0;0.7;9275133.0;21347296978.0
2021-01-07;ECOPETROL;2373.0;2380.0;2362.01;2315.0;65.0;2.82;10947046.0;25856983127.0
2021-01-08;ECOPETROL;2399.0;2402.0;2393.21;2336.0;26.0;1.1;9130572.0;21851419901.0
2021-01-12;ECOPETROL;2459.0;2459.0;2431.89;2395.0;60.0;2.5;17953674.0;43661308666.0
2021-01-13;ECOPETROL;2438.0;2468.0;2433.32;2420.0;-21.0;-0.85;10619672.0;25841033721.0
2021-01-14;ECOPETROL;2484.0;2491.0;2465.64;2440.0;46.0;1.89;17946399.0;44249290593.0
2021-01-15;ECOPETROL;2420.0;2474.0;2437.41;2413.0;-64.0;-2.58;25652138.0;62524651302.0
2021-01-18;ECOPETROL;2440.0;2440.0;2409.01;2380.0;20.0;0.83;2229417.0;5370681042.0
2021-01-19;ECOPETROL;2450.0;2469.0;2448.73;2425.0;10.0;0.41;6482433.0;15873743840.0
2021-01-20;ECOPETROL;2437.0;2466.0;2441.34;2429.0;-13.0;-0.53;9723064.0;23737265146.0
2021-01-21;ECOPETROL;2408.0;2452.0;2425.97;2402.0;-29.0;-1.19;12308330.0;29859659477.0
2021-01-22;ECOPETROL;2354.0;2390.0;2359.46;2330.0;-54.0;-2.24;6359694.0;15005449668.0
2021-01-25;ECOPETROL;2324.0;2352.0;2325.37;2300.0;-30.0;-1.27;9991787.0;23234628383.0
2021-01-26;ECOPETROL;2364.0;2375.0;2359.26;2324.0;40.0;1.72;6229063.0;14696003357.0
2021-01-27;ECOPETROL;2230.0;2320.0;2247.23;2221.0;-134.0;-5.67;25125885.0;56463762811.0
2021-01-28;ECOPETROL;2145.0;2237.0;2169.76;2143.0;-85.0;-3.81;15718698.0;34105723878.0
2021-01-29;ECOPETROL;2030.0;2140.0;2051.13;2030.0;-115.0;-5.36;31092376.0;63774577296.0
2021-02-01;ECOPETROL;2090.0;2110.0;2064.2;2028.0;60.0;2.96;14430604.0;29787587320.0
2021-02-02;ECOPETROL;2091.0;2157.0;2121.13;2091.0;1.0;0.05;17363428.0;36830041987.0
2021-02-03;ECOPETROL;2090.0;2150.0;2101.29;2090.0;-1.0;-0.05;11235339.0;23608671746.0
2021-02-04;ECOPETROL;2135.0;2135.0;2113.62;2088.0;45.0;2.15;5469669.0;11560777121.0
2021-02-05;ECOPETROL;2155.0;2177.0;2153.0;2135.0;20.0;0.94;7015243.0;15103812355.0
2021-02-08;ECOPETROL;2200.0;2210.0;2197.83;2160.0;45.0;2.09;11647576.0;25599353529.0
2021-02-09;ECOPETROL;2203.0;2211.0;2197.44;2183.0;3.0;0.14;9574735.0;21039940389.0
2021-02-10;ECOPETROL;2195.0;2200.0;2187.29;2176.0;-8.0;-0.36;5506776.0;12044922165.0
2021-02-11;ECOPETROL;2140.0;2180.0;2153.28;2138.0;-55.0;-2.51;4313112.0;9287334208.0
2021-02-12;ECOPETROL;2150.0;2162.0;2146.82;2120.0;10.0;0.47;5864980.0;12591028322.0
2021-02-15;ECOPETROL;2190.0;2200.0;2189.74;2169.0;40.0;1.86;1318624.0;2887449968.0
2021-02-16;ECOPETROL;2210.0;2219.0;2210.19;2189.0;20.0;0.91;8810049.0;19471908073.0
2021-02-17;ECOPETROL;2200.0;2224.0;2195.81;2181.0;-10.0;-0.45;13240489.0;29073602347.0
2021-02-18;ECOPETROL;2156.0;2213.0;2178.75;2156.0;-44.0;-2.0;15456250.0;33675251732.0
2021-02-19;ECOPETROL;2165.0;2172.0;2162.78;2146.0;9.0;0.42;18141689.0;39236427355.0
2021-02-22;ECOPETROL;2233.0;2242.0;2191.27;2155.0;68.0;3.14;18274283.0;40043852069.0
2021-02-23;ECOPETROL;2291.0;2305.0;2271.27;2200.0;58.0;2.6;12504238.0;28400523550.0
2021-02-24;ECOPETROL;2309.0;2325.0;2302.91;2260.0;18.0;0.79;11899639.0;27403767025.0
2021-02-25;ECOPETROL;2280.0;2349.0;2306.95;2280.0;-29.0;-1.26;11391994.0;26280712229.0
2021-02-26;ECOPETROL;2250.0;2260.0;2235.84;2200.0;-30.0;-1.32;8797301.0;19669345524.0
2021-03-01;ECOPETROL;2246.0;2293.0;2267.96;2246.0;-4.0;-0.18;4622065.0;10482677281.0
2021-03-02;ECOPETROL;2245.0;2275.0;2255.05;2240.0;-1.0;-0.04;4334480.0;9774469167.0
2021-03-03;ECOPETROL;2255.0;2283.0;2268.1;2254.0;10.0;0.45;12689731.0;28781593626.0
2021-03-04;ECOPETROL;2279.0;2335.0;2299.22;2249.0;24.0;1.06;17902729.0;41162249671.0
2021-03-05;ECOPETROL;2400.0;2420.0;2372.48;2300.0;121.0;5.31;29174819.0;69216711228.0
2021-03-08;ECOPETROL;2347.0;2420.0;2355.63;2335.0;-53.0;-2.21;7693085.0;18122048025.0
2021-03-09;ECOPETROL;2339.0;2347.0;2323.55;2310.0;-8.0;-0.34;10445352.0;24270292016.0
2021-03-10;ECOPETROL;2373.0;2379.0;2350.1;2310.0;34.0;1.45;5881588.0;13822329133.0
2021-03-11;ECOPETROL;2368.0;2403.0;2382.28;2368.0;-5.0;-0.21;8898569.0;21198917478.0
2021-03-12;ECOPETROL;2378.0;2384.0;2371.22;2356.0;10.0;0.42;5568620.0;13204436001.0
2021-03-15;ECOPETROL;2480.0;2480.0;2435.85;2380.0;102.0;4.29;24149551.0;58824607032.0
2021-03-16;ECOPETROL;2460.0;2480.0;2459.45;2446.0;-20.0;-0.81;8982507.0;22092039716.0
2021-03-17;ECOPETROL;2457.0;2480.0;2459.89;2435.0;-3.0;-0.12;6262461.0;15404948310.0
